"Name","Type","Level","Race","Attribute","ATK","DEF","Cluster"
"Lavalval Chain","XYZ Monster",4,"Sea Serpent","FIRE",1800.0000000000002,1000,"cluster_4"
"Ultimate Insect LV3","Effect Monster",3,"Insect","WIND",1400.0000000000002,900.0000000000001,"cluster_5"
"Harpie Girl","Normal Monster",2,"Winged Beast","WIND",500,500,"cluster_6"
"Daigusto Falcos","Synchro Monster",4,"Psychic","WIND",1400.0000000000002,1200,"cluster_5"
"Dragunity Knight - Gae Dearg","Synchro Monster",5.999999999999999,"Dragon","WIND",2400,800,"cluster_5"
"Cyber Jar","Flip Effect Monster",3,"Rock","DARK",900.0000000000001,900.0000000000001,"cluster_2"
"Heroic Challenger - Extra Sword","Effect Monster",4,"Warrior","EARTH",1000,1000,"cluster_6"
"Master of the Flaming Dragonswords","Effect Monster",4,"Warrior","FIRE",1800.0000000000002,1200,"cluster_2"
"Fear from the Dark","Effect Monster",4,"Zombie","DARK",1700.0000000000002,1500,"cluster_2"
"Magical Scientist","Effect Monster",1,"Spellcaster","DARK",300,300,"cluster_1"
"Grapha, Dragon Lord of Dark World","Effect Monster",8,"Fiend","DARK",2700,1800.0000000000002,"cluster_2"
"Goblin Marauding Squad","Effect Monster",4,"Beast-Warrior","EARTH",1900,0,"cluster_4"
"Dash Warrior","Effect Monster",3,"Warrior","WIND",600,1200,"cluster_6"
"Artifact Lancea","Effect Monster",5,"Fairy","LIGHT",1700.0000000000002,2300,"cluster_1"
"Corroding Shark","Normal Monster",3,"Zombie","DARK",1100,700.0000000000001,"cluster_2"
"Vampire's Curse","Effect Monster",5.999999999999999,"Zombie","DARK",2000,800,"cluster_2"
"Lemon Magician Girl","Effect Monster",2,"Spellcaster","LIGHT",800,600,"cluster_1"
"Living Vase","Normal Monster",3,"Plant","EARTH",900.0000000000001,1100,"cluster_5"
"Ritual Raven","Effect Monster",1,"Fiend","DARK",300,300,"cluster_2"
"Djinn Presider of Rituals","Effect Monster",4,"Fiend","DARK",1800.0000000000002,1400.0000000000002,"cluster_2"
"Performapal Bubblebowwow","Pendulum Effect Monster",5.999999999999999,"Beast","EARTH",2300,1000,"cluster_3"
"Beelze of the Diabolic Dragons","Synchro Monster",8,"Dragon","DARK",3000,3000,"cluster_5"
"Mechanical Snail","Normal Monster",3,"Machine","DARK",800,1000,"cluster_4"
"Flame Manipulator","Normal Monster",3,"Spellcaster","FIRE",900.0000000000001,1000,"cluster_1"
"Fortune Lady Light","Effect Monster",1,"Spellcaster","LIGHT",0,0,"cluster_1"
"Construction Train Signal Red","Effect Monster",3,"Machine","EARTH",1000,1300,"cluster_4"
"Junk Giant","Effect Monster",5.999999999999999,"Machine","EARTH",2000,2400,"cluster_4"
"Superheavy Samurai Daihachi","Effect Monster",4,"Machine","EARTH",1200,1800.0000000000002,"cluster_4"
"Amorphage Gluttony","Pendulum Effect Monster",2,"Dragon","EARTH",0,1850,"cluster_0"
"Ganigumo","Normal Monster",2,"Insect","EARTH",600,800,"cluster_5"
"Edge Imp Frightfuloid","Effect Monster",4,"Fiend","DARK",1300,1300,"cluster_2"
"Arcana Force VII - The Chariot","Effect Monster",4,"Fairy","LIGHT",1700.0000000000002,1700.0000000000002,"cluster_1"
"U.A. Blockbacker","Effect Monster",7,"Warrior","EARTH",1600,2700,"cluster_6"
"Gimmick Puppet Shadow Feeler","Effect Monster",8,"Machine","DARK",1000,1000,"cluster_4"
"Kaibaman","Effect Monster",3,"Warrior","LIGHT",200,700.0000000000001,"cluster_6"
"Darksea Rescue","Effect Monster",1,"Machine","DARK",0,0,"cluster_4"
"Madolche Anjelly","Effect Monster",4,"Fairy","EARTH",1000,1000,"cluster_1"
"Edge Imp Saw","Effect Monster",3,"Fiend","DARK",500,1000,"cluster_2"
"Spirit of the Mountain","Normal Monster",5,"Spellcaster","EARTH",1300,1800.0000000000002,"cluster_1"
"Electromagnetic Turtle","Effect Monster",4,"Machine","LIGHT",0,1800.0000000000002,"cluster_4"
"Blocker","Normal Monster",4,"Machine","DARK",850.0000000000001,1800.0000000000002,"cluster_4"
"Heavy Knight of the Flame","Gemini Monster",4,"Zombie","FIRE",1800.0000000000002,200,"cluster_3"
"Triple Star Trion","Effect Monster",1,"Warrior","LIGHT",100,100,"cluster_6"
"Ultimate Insect LV5","Effect Monster",5,"Insect","WIND",2300,900.0000000000001,"cluster_5"
"Tsukuyomi","Spirit Monster",4,"Spellcaster","DARK",1100,1400.0000000000002,"cluster_3"
"Phantom Beast Thunder-Pegasus","Effect Monster",4,"Beast-Warrior","LIGHT",700.0000000000001,2000,"cluster_4"
"Lucent, Netherlord of Dark World","Effect Monster",5.999999999999999,"Fiend","DARK",2400,0,"cluster_2"
"Cyber Larva","Effect Monster",1,"Machine","LIGHT",400,600,"cluster_4"
"Insect Knight","Normal Monster",4,"Insect","EARTH",1900,1500,"cluster_5"
"Magical King Moonstar","Effect Monster",3,"Fiend","DARK",900.0000000000001,600,"cluster_2"
"Illusory Snatcher","Effect Monster",7,"Fiend","DARK",2400,1000,"cluster_2"
"Pulao, Wind of the Yang Zing","Effect Monster",1,"Wyrm","WIND",0,1800.0000000000002,"cluster_5"
"Kuriphoton","Effect Monster",1,"Fiend","LIGHT",300,200,"cluster_6"
"Magician of Dark Illusion","Effect Monster",7,"Spellcaster","DARK",2100,2500,"cluster_1"
"Dust Knight","Flip Effect Monster",4,"Warrior","EARTH",1400.0000000000002,1200,"cluster_6"
"Evilswarm Hraesvelg","Flip Effect Monster",4,"Winged Beast","DARK",1150,1850,"cluster_2"
"Blindly Loyal Goblin","Effect Monster",4,"Warrior","EARTH",1800.0000000000002,1500,"cluster_6"
"Blue-Eyed Silver Zombie","Normal Monster",3,"Zombie","DARK",900.0000000000001,700.0000000000001,"cluster_2"
"Malicevorous Spoon","Effect Monster",2,"Fiend","DARK",100,500,"cluster_2"
"Woodborg Inpachi","Normal Monster",5,"Machine","FIRE",500,2500,"cluster_4"
"Malacoda, Netherlord of the Burning Abyss","Ritual Effect Monster",5.999999999999999,"Fiend","DARK",2700,2200,"cluster_3"
"Pixie Knight","Effect Monster",2,"Spellcaster","LIGHT",1300,200,"cluster_1"
"Snyffus","Tuner Monster",1,"Beast","EARTH",100,100,"cluster_1"
"Lord British Space Fighter","Effect Monster",4,"Machine","LIGHT",1200,800,"cluster_4"
"Battlin' Boxer Shadow","Effect Monster",4,"Warrior","FIRE",1800.0000000000002,1400.0000000000002,"cluster_2"
"Dark Witch","Normal Monster",5,"Fairy","LIGHT",1800.0000000000002,1700.0000000000002,"cluster_1"
"Lunalight Kaleido Chick","Effect Monster",4,"Beast-Warrior","DARK",1400.0000000000002,800,"cluster_4"
"Steelswarm Sting","Effect Monster",4,"Fiend","DARK",1850,0,"cluster_2"
"Kidmodo Dragon","Effect Monster",3,"Dragon","EARTH",100,200,"cluster_5"
"Worm Warlord","Effect Monster",5.999999999999999,"Reptile","LIGHT",2350,1800.0000000000002,"cluster_5"
"Monstrous Bird","Normal Monster",5.999999999999999,"Winged Beast","WIND",2000,1900,"cluster_6"
"Vermillion Sparrow","Fusion Monster",5,"Pyro","FIRE",1900,1500,"cluster_5"
"Arcana Force III - The Empress","Effect Monster",4,"Fairy","LIGHT",1300,1300,"cluster_1"
"Darkbishop Archfiend","Effect Monster",3,"Fiend","WATER",300,1400.0000000000002,"cluster_6"
"Superheavy Samurai Soulbuster Gauntlet","Effect Monster",1,"Machine","EARTH",0,400,"cluster_4"
"Jinzo - Lord","Effect Monster",8,"Machine","DARK",2600,1600,"cluster_4"
"Elemental HERO Flame Wingman","Fusion Monster",5.999999999999999,"Warrior","WIND",2100,1200,"cluster_3"
"Shiranui Samurai","Effect Monster",4,"Zombie","FIRE",1800.0000000000002,0,"cluster_2"
"Pyrorex the Elemental Lord","Effect Monster",8,"Dinosaur","FIRE",2800.0000000000005,2200,"cluster_5"
"Grandram","Effect Monster",4,"Rock","EARTH",0,1400.0000000000002,"cluster_6"
"Galaxy Knight","Effect Monster",8,"Warrior","LIGHT",2800.0000000000005,2600,"cluster_6"
"Shooting Quasar Dragon","Synchro Monster",11.999999999999998,"Dragon","LIGHT",4000,4000,"cluster_5"
"Terrorking Archfiend","Effect Monster",4,"Fiend","DARK",2000,1500,"cluster_2"
"Ido the Supreme Magical Force","Effect Monster",5.999999999999999,"Fiend","DARK",2200,800,"cluster_2"
"King of the Skull Servants","Effect Monster",1,"Zombie","DARK",0,0,"cluster_2"
"Hundred-Footed Horror","Effect Monster",7,"Insect","DARK",2600,1300,"cluster_5"
"Penguin Knight","Effect Monster",3,"Aqua","WATER",900.0000000000001,800,"cluster_4"
"Babycerasaurus","Effect Monster",2,"Dinosaur","EARTH",500,500,"cluster_5"
"Sylvan Marshalleaf","Effect Monster",3,"Plant","WATER",1500,1200,"cluster_4"
"Bull Blader","Effect Monster",4,"Warrior","EARTH",1600,1200,"cluster_6"
"Night's End Sorcerer","Tuner Monster",2,"Spellcaster","DARK",1300,400,"cluster_1"
"Space Mambo","Normal Monster",4,"Fish","WATER",1700.0000000000002,1000,"cluster_1"
"Monster Egg","Normal Monster",3,"Warrior","EARTH",600,900.0000000000001,"cluster_6"
"Arma Knight","Normal Monster",4,"Aqua","WATER",1000,1200,"cluster_4"
"Gishki Beast","Effect Monster",4,"Beast","WATER",1500,1300,"cluster_1"
"Super Vehicroid Jumbo Drill","Fusion Monster",8,"Machine","EARTH",3000,2000,"cluster_0"
"Venom Serpent","Effect Monster",4,"Reptile","DARK",1000,800,"cluster_5"
"Witty Phantom","Normal Monster",4,"Fiend","DARK",1400.0000000000002,1300,"cluster_2"
"Uniflora, Mystical Beast of the Forest","Effect Monster",1,"Beast","EARTH",700.0000000000001,500,"cluster_1"
"Reeze, Whirlwind of Gusto","Effect Monster",5,"Psychic","WIND",1900,1400.0000000000002,"cluster_5"
"Vampire Dragon","Effect Monster",5,"Zombie","DARK",2400,0,"cluster_2"
"Gilford the Lightning","Effect Monster",8,"Warrior","LIGHT",2800.0000000000005,1400.0000000000002,"cluster_6"
"Gilford the Lightning","Effect Monster",8,"Warrior","LIGHT",2800.0000000000005,1400.0000000000002,"cluster_6"
"Ambulanceroid","Effect Monster",3,"Machine","EARTH",300,1200,"cluster_4"
"Sorciere de Fleur","Effect Monster",8,"Spellcaster","DARK",2900.0000000000005,0,"cluster_1"
"Chaos King Archfiend","Synchro Monster",7,"Fiend","DARK",2600,2600,"cluster_2"
"The Phantom Knights of Silent Boots","Effect Monster",3,"Warrior","DARK",200,1200,"cluster_2"
"Blackwing - Hurricane the Tornado","Tuner Monster",1,"Winged Beast","DARK",0,0,"cluster_2"
"Sonic Chick","Effect Monster",1,"Winged Beast","EARTH",300,300,"cluster_6"
"Malefic Stardust Dragon","Effect Monster",8,"Dragon","DARK",2500,2000,"cluster_5"
"Superheavy Samurai Big Waraji","Effect Monster",5,"Machine","EARTH",800,1800.0000000000002,"cluster_4"
"Farfa, Malebranche of the Burning Abyss","Effect Monster",3,"Fiend","DARK",1000,1900,"cluster_2"
"Mental Seeker","Tuner Monster",3,"Psychic","EARTH",800,600,"cluster_5"
"Brushfire Knight","Effect Monster",4,"Warrior","FIRE",1400.0000000000002,1200,"cluster_2"
"Gren Maju Da Eiza","Effect Monster",3,"Fiend","FIRE",0,0,"cluster_2"
"Destiny HERO - Dread Servant","Effect Monster",3,"Warrior","DARK",400,700.0000000000001,"cluster_2"
"Ally of Justice Core Destroyer","Effect Monster",3,"Machine","DARK",1200,200,"cluster_4"
"Shiranui Spectralsword","Tuner Monster",2,"Zombie","FIRE",800,0,"cluster_2"
"Synchron Explorer","Effect Monster",2,"Machine","EARTH",0,700.0000000000001,"cluster_4"
"T.G. Rush Rhino","Effect Monster",4,"Beast","EARTH",1600,800,"cluster_1"
"The Phantom Knights of Fragile Armor","Effect Monster",4,"Warrior","DARK",1000,2000,"cluster_2"
"Jurrac Monoloph","Tuner Monster",3,"Dinosaur","FIRE",1500,1200,"cluster_5"
"Dimensional Alchemist","Effect Monster",4,"Fairy","LIGHT",1300,200,"cluster_1"
"Priestess with Eyes of Blue","Tuner Monster",1,"Spellcaster","LIGHT",0,0,"cluster_1"
"Rush Warrior","Effect Monster",2,"Warrior","WIND",300,1200,"cluster_6"
"Magna Drago","Tuner Monster",2,"Dragon","FIRE",1400.0000000000002,600,"cluster_5"
"Evilswarm Bahamut","XYZ Monster",4,"Dragon","DARK",2350,1350,"cluster_5"
"Sky Cavalry Centaurea","XYZ Monster",2,"Beast-Warrior","LIGHT",2000,0,"cluster_4"
"Ancient Sorcerer","Normal Monster",4,"Spellcaster","DARK",1000,1300,"cluster_1"
"Photon Pirate","Effect Monster",3,"Machine","LIGHT",1000,1000,"cluster_4"
"Hot Red Dragon Archfiend Bane","Synchro Monster",10,"Dragon","DARK",3500.0000000000005,3000,"cluster_5"
"Dragunity Aklys","Tuner Monster",2,"Dragon","WIND",1000,800,"cluster_5"
"Metaphys Horus","Synchro Monster",5.999999999999999,"Wyrm","LIGHT",2300,1600,"cluster_5"
"Akihiron","Normal Monster",5,"Aqua","WATER",1700.0000000000002,1400.0000000000002,"cluster_4"
"Castle Gate","Effect Monster",5.999999999999999,"Rock","EARTH",0,2400,"cluster_6"
"Superheavy Samurai Ogre Shutendoji","Synchro Monster",5.999999999999999,"Machine","EARTH",500,2500,"cluster_4"
"Gadarla, the Mystery Dust Kaiju","Effect Monster",8,"Insect","WIND",2700,1600,"cluster_5"
"Puralis, the Purple Pyrotile","Synchro Tuner Monster",2,"Reptile","FIRE",800,1400.0000000000002,"cluster_0"
"D.D. Warrior","Effect Monster",4,"Warrior","EARTH",1200,1000,"cluster_6"
"Cyber Ogre 2","Fusion Monster",7,"Machine","EARTH",2600,1900,"cluster_0"
"Brotherhood of the Fire Fist - Lion Emperor","XYZ Monster",3,"Beast-Warrior","FIRE",2200,200,"cluster_4"
"Gravekeeper's Guard","Flip Effect Monster",4,"Spellcaster","DARK",1000,1900,"cluster_1"
"Atlantean Heavy Infantry","Effect Monster",2,"Sea Serpent","WATER",0,1600,"cluster_4"
"Malefic Truth Dragon","Effect Monster",11.999999999999998,"Dragon","DARK",5000,5000,"cluster_5"
"Numeral Hunter","Effect Monster",4,"Warrior","LIGHT",1600,1400.0000000000002,"cluster_6"
"Ojama Red","Effect Monster",2,"Beast","LIGHT",0,1000,"cluster_1"
"Fairywitch","Normal Monster",3,"Spellcaster","DARK",800,1000,"cluster_1"
"Madolche Queen Tiaramisu","XYZ Monster",4,"Fairy","EARTH",2200,2100,"cluster_1"
"Gorgonic Cerberus","Effect Monster",3,"Rock","DARK",1300,300,"cluster_2"
"PSY-Framelord Zeta","Synchro Monster",7,"Psychic","LIGHT",2500,1800.0000000000002,"cluster_5"
"Elemental HERO Ocean","Effect Monster",4,"Warrior","WATER",1500,1200,"cluster_6"
"Weather Control","Normal Monster",2,"Fairy","LIGHT",600,400,"cluster_1"
"Sabersaurus","Normal Monster",4,"Dinosaur","EARTH",1900,500,"cluster_5"
"Silent Swordsman LV7","Effect Monster",7,"Warrior","LIGHT",2800.0000000000005,1000,"cluster_6"
"T.G. Jet Falcon","Tuner Monster",3,"Winged Beast","WIND",1400.0000000000002,1200,"cluster_6"
"Turtle Tiger","Normal Monster",4,"Aqua","WATER",1000,1500,"cluster_4"
"Naturia Eggplant","Effect Monster",2,"Plant","EARTH",1000,700.0000000000001,"cluster_5"
"Charubin the Fire Knight","Fusion Monster",3,"Pyro","FIRE",1100,800,"cluster_5"
"Shaddoll Falco","Tuner Monster",2,"Spellcaster","DARK",600,1400.0000000000002,"cluster_1"
"Catapult Warrior","Synchro Monster",5,"Warrior","EARTH",1000,1500,"cluster_6"
"Gishki Reliever","Effect Monster",2,"Aqua","WATER",500,800,"cluster_4"
"Shadow Tamer","Flip Effect Monster",3,"Warrior","EARTH",800,700.0000000000001,"cluster_6"
"Paleozoic Opabinia","XYZ Monster",2,"Aqua","WATER",0,2400,"cluster_4"
"Bone Crusher","Effect Monster",4,"Zombie","EARTH",1600,200,"cluster_2"
"Accel Synchron","Synchro Tuner Monster",5,"Machine","DARK",500,2100,"cluster_0"
"Kozmo Delta Shuttle","Effect Monster",5,"Machine","DARK",2000,2000,"cluster_4"
"Levia-Dragon - Daedalus","Effect Monster",7,"Sea Serpent","WATER",2600,1500,"cluster_4"
"Honest","Effect Monster",4,"Fairy","LIGHT",1100,1900,"cluster_1"
"Wynn the Wind Charmer","Flip Effect Monster",3,"Spellcaster","WIND",500,1500,"cluster_1"
"Performapal Bowhopper","Effect Monster",4,"Insect","EARTH",1500,1000,"cluster_5"
"Dinomist Ceratops","Pendulum Effect Monster",5,"Machine","WATER",2100,400,"cluster_4"
"Destiny HERO - Dynatag","Effect Monster",5,"Warrior","DARK",1000,1000,"cluster_2"
"Mermail Abyssleed","Effect Monster",7,"Sea Serpent","WATER",2700,1000,"cluster_4"
"Metabo-Shark","Effect Monster",4,"Fish","WATER",1800.0000000000002,500,"cluster_1"
"Depth Shark","Effect Monster",5,"Fish","WATER",1400.0000000000002,0,"cluster_1"
"Hazy Flame Peryton","Effect Monster",5.999999999999999,"Pyro","FIRE",1600,1700.0000000000002,"cluster_5"
"Caravan of the Ice Barrier","Effect Monster",1,"Sea Serpent","WATER",500,200,"cluster_4"
"Rai-Jin","Effect Monster",4,"Thunder","LIGHT",0,1000,"cluster_4"
"Hydra Viper","Effect Monster",4,"Reptile","WATER",1800.0000000000002,400,"cluster_5"
"Ascension Sky Dragon","Synchro Monster",10,"Dragon","LIGHT",0,3000,"cluster_5"
"Steelswarm Roach","XYZ Monster",4,"Fiend","DARK",1900,0,"cluster_2"
"Royal Swamp Eel","Tuner Monster",4,"Fish","WATER",1700.0000000000002,1200,"cluster_1"
"Gaap the Divine Soldier","Effect Monster",5.999999999999999,"Fiend","DARK",2200,2000,"cluster_2"
"Insect Princess","Effect Monster",5.999999999999999,"Insect","WIND",1900,1200,"cluster_5"
"Aussa the Earth Charmer","Flip Effect Monster",3,"Spellcaster","EARTH",500,1500,"cluster_1"
"Gorgonic Golem","Effect Monster",3,"Rock","DARK",1200,600,"cluster_2"
"Qliphort Helix","Pendulum Effect Monster",5.999999999999999,"Machine","EARTH",2400,1000,"cluster_4"
"Junk Gardna","Synchro Monster",5.999999999999999,"Warrior","EARTH",1400.0000000000002,2600,"cluster_6"
"Chronomaly Moai Carrier","Effect Monster",5,"Rock","EARTH",900.0000000000001,1800.0000000000002,"cluster_6"
"Vola-Chemicritter Methydraco","XYZ Monster",8,"Beast-Warrior","FIRE",3000,3000,"cluster_4"
"Dark Magician Girl","Effect Monster",5.999999999999999,"Spellcaster","DARK",2000,1700.0000000000002,"cluster_1"
"Dark Magician Girl","Effect Monster",5.999999999999999,"Spellcaster","DARK",2000,1700.0000000000002,"cluster_1"
"Dark Magician Girl","Effect Monster",5.999999999999999,"Spellcaster","DARK",2000,1700.0000000000002,"cluster_1"
"Dark Magician Girl","Effect Monster",5.999999999999999,"Spellcaster","DARK",2000,1700.0000000000002,"cluster_1"
"Dark Magician Girl","Effect Monster",5.999999999999999,"Spellcaster","DARK",2000,1700.0000000000002,"cluster_1"
"Akakieisu","Normal Monster",3,"Spellcaster","DARK",1000,800,"cluster_1"
"Seed of Flame","Effect Monster",3,"Plant","FIRE",1600,1200,"cluster_5"
"Genex Ally Chemistrer","Tuner Monster",2,"Machine","DARK",200,500,"cluster_4"
"Dark Nephthys","Effect Monster",8,"Winged Beast","DARK",2400,1600,"cluster_2"
"Dragonic Knight","Effect Monster",7,"Dragon","FIRE",2800.0000000000005,2300,"cluster_5"
"Machine Attacker","Normal Monster",5,"Machine","EARTH",1600,1300,"cluster_4"
"Fluffal Rabbit","Effect Monster",1,"Fairy","EARTH",300,1200,"cluster_1"
"Petit Angel","Normal Monster",3,"Fairy","LIGHT",600,900.0000000000001,"cluster_1"
"Aromaseraphy Rosemary","Synchro Monster",5,"Plant","LIGHT",2000,900.0000000000001,"cluster_5"
"Unformed Void","XYZ Monster",4,"Aqua","LIGHT",0,0,"cluster_4"
"Explossum","Effect Monster",1,"Beast","EARTH",100,100,"cluster_1"
"Dark-Eyes Illusionist","Flip Effect Monster",2,"Spellcaster","DARK",0,1400.0000000000002,"cluster_1"
"Crimson Knight Vampire Bram","XYZ Monster",5,"Zombie","DARK",2500,0,"cluster_2"
"Evilswarm Ouroboros","XYZ Monster",4,"Dragon","DARK",2750,1950,"cluster_5"
"Mikazukinoyaiba","Normal Monster",7,"Dragon","DARK",2200,2350,"cluster_5"
"Enishi, Shien's Chancellor","Effect Monster",5.999999999999999,"Warrior","LIGHT",2200,1200,"cluster_6"
"Crawling Dragon 2","Normal Monster",4,"Dinosaur","EARTH",1600,1200,"cluster_5"
"Star Seraph Scepter","Effect Monster",4,"Fairy","LIGHT",1800.0000000000002,400,"cluster_1"
"Locomotion R-Genex","Synchro Monster",9,"Machine","DARK",2500,2000,"cluster_4"
"Manga Ryu-Ran","Toon Monster",7,"Dragon","FIRE",2200,2600,"cluster_0"
"Gil Garth","Normal Monster",4,"Fiend","DARK",1800.0000000000002,1200,"cluster_2"
"Inzektor Earwig","Effect Monster",4,"Insect","DARK",1000,1000,"cluster_5"
"Alien Hypno","Gemini Monster",4,"Reptile","WATER",1600,700.0000000000001,"cluster_0"
"The Trojan Horse","Effect Monster",4,"Beast","EARTH",1600,1200,"cluster_1"
"Lady Panther","Effect Monster",4,"Beast-Warrior","EARTH",1400.0000000000002,1300,"cluster_4"
"Junkuriboh","Effect Monster",1,"Machine","EARTH",300,200,"cluster_4"
"Laval Cannon","Effect Monster",4,"Warrior","FIRE",1600,900.0000000000001,"cluster_2"
"Blue-Eyes Alternative White Dragon","Effect Monster",8,"Dragon","LIGHT",3000,2500,"cluster_5"
"Ancient Dragon","Effect Monster",4,"Dragon","LIGHT",1400.0000000000002,1300,"cluster_5"
"Meklord Astro Dragon Asterisk","Effect Monster",10,"Machine","DARK",0,0,"cluster_4"
"Hazy Flame Cerbereus","Effect Monster",5.999999999999999,"Beast","FIRE",2000,200,"cluster_1"
"Shock Troops of the Ice Barrier","Effect Monster",3,"Spellcaster","WATER",1500,800,"cluster_1"
"Fushi No Tori","Spirit Monster",4,"Winged Beast","FIRE",1200,0,"cluster_3"
"Blackwing - Jin the Rain Shadow","Tuner Monster",1,"Winged Beast","DARK",600,500,"cluster_2"
"Miscellaneousaurus","Effect Monster",4,"Dinosaur","FIRE",1800.0000000000002,1000,"cluster_5"
"Robot Buster Destruction Sword","Effect Monster",4,"Machine","DARK",1600,1200,"cluster_4"
"Satellarknight Vega","Effect Monster",4,"Warrior","LIGHT",1200,1600,"cluster_6"
"Black Tyranno","Effect Monster",7,"Dinosaur","EARTH",2600,1800.0000000000002,"cluster_5"
"Vylon Stella","Tuner Monster",3,"Fairy","LIGHT",1400.0000000000002,200,"cluster_1"
"Envoy of Chaos","Effect Monster",4,"Warrior","DARK",1500,0,"cluster_2"
"The Agent of Wisdom - Mercury","Effect Monster",4,"Fairy","LIGHT",0,1700.0000000000002,"cluster_1"
"Lightray Daedalus","Effect Monster",7,"Sea Serpent","LIGHT",2600,1500,"cluster_4"
"Frontier Wiseman","Effect Monster",3,"Spellcaster","EARTH",1600,800,"cluster_1"
"Photon Leo","Effect Monster",5.999999999999999,"Beast","LIGHT",2100,1100,"cluster_1"
"PSY-Framegear Gamma","Tuner Monster",2,"Psychic","LIGHT",1000,0,"cluster_5"
"Rinyan, Lightsworn Rogue","Flip Effect Monster",2,"Beast","LIGHT",100,100,"cluster_1"
"Akz, the Pumer","Effect Monster",5.999999999999999,"Beast-Warrior","EARTH",1500,1000,"cluster_4"
"Roboyarou","Normal Monster",3,"Machine","EARTH",900.0000000000001,450.00000000000006,"cluster_4"
"Sonic Maid","Normal Monster",3,"Warrior","EARTH",1200,900.0000000000001,"cluster_6"
"Dragon Core Hexer","Normal Tuner Monster",8,"Dragon","DARK",2300,3000,"cluster_0"
"Photon Lizard","Effect Monster",3,"Dragon","LIGHT",900.0000000000001,1200,"cluster_5"
"Gundari","Spirit Monster",4,"Pyro","FIRE",1000,200,"cluster_0"
"Desert Protector","Effect Monster",4,"Insect","EARTH",800,1000,"cluster_5"
"Hyo","Normal Monster",3,"Warrior","WATER",800,1200,"cluster_6"
"Dinomist Plesios","Pendulum Effect Monster",4,"Machine","WATER",1700.0000000000002,1400.0000000000002,"cluster_4"
"Cosmo Queen","Normal Monster",8,"Spellcaster","DARK",2900.0000000000005,2450.0000000000005,"cluster_1"
"Root Water","Normal Monster",3,"Fish","WATER",900.0000000000001,800,"cluster_1"
"Galaxy-Eyes Full Armor Photon Dragon","XYZ Monster",8,"Dragon","LIGHT",4000,3500.0000000000005,"cluster_5"
"Koa'ki Meiru Beetle","Effect Monster",4,"Insect","EARTH",1900,1500,"cluster_5"
"Pandaborg","Effect Monster",4,"Psychic","WATER",1700.0000000000002,1400.0000000000002,"cluster_5"
"Tri-Horned Dragon","Normal Monster",8,"Dragon","DARK",2850.0000000000005,2350,"cluster_5"
"Berserk Gorilla","Effect Monster",4,"Beast","EARTH",2000,1000,"cluster_1"
"Winged Cleaver","Normal Monster",2,"Insect","EARTH",700.0000000000001,700.0000000000001,"cluster_5"
"Rigorous Reaver","Flip Effect Monster",3,"Plant","FIRE",1600,100,"cluster_5"
"Storm Shooter","Effect Monster",7,"Winged Beast","WIND",2300,500,"cluster_6"
"Masked Dragon","Effect Monster",3,"Dragon","FIRE",1400.0000000000002,1100,"cluster_5"
"Overlay Sentinel","Effect Monster",4,"Warrior","LIGHT",2000,0,"cluster_6"
"Royal Guard","Normal Monster",5.999999999999999,"Machine","EARTH",1900,2200,"cluster_4"
"Fluffal Dog","Effect Monster",4,"Fairy","EARTH",1700.0000000000002,1000,"cluster_1"
"Beta the Magnet Warrior","Normal Monster",4,"Rock","EARTH",1700.0000000000002,1600,"cluster_6"
"Aquaactress Tetra","Effect Monster",1,"Aqua","WATER",300,300,"cluster_4"
"Neo Galaxy-Eyes Photon Dragon","XYZ Monster",8,"Dragon","LIGHT",4500,3000,"cluster_5"
"Machina Cannon","Effect Monster",8,"Machine","EARTH",0,2200,"cluster_4"
"Ancient Gear Knight","Gemini Monster",4,"Machine","EARTH",1800.0000000000002,500,"cluster_0"
"Darkblaze Dragon","Effect Monster",7,"Dragon","FIRE",1200,1000,"cluster_5"
"Red-Eyes Archfiend of Lightning","Gemini Monster",5.999999999999999,"Fiend","DARK",2500,1200,"cluster_3"
"Battleguard King","Effect Monster",8,"Warrior","EARTH",3000,1100,"cluster_6"
"Trident Dragion","Synchro Monster",10,"Dragon","FIRE",3000,2800.0000000000005,"cluster_5"
"Dododo Witch","Effect Monster",4,"Warrior","EARTH",1200,1600,"cluster_6"
"Cyber Dinosaur","Effect Monster",7,"Machine","LIGHT",2500,1900,"cluster_4"
"Fabled Leviathan","Synchro Monster",10,"Fiend","LIGHT",3000,2000,"cluster_6"
"Blade Knight","Effect Monster",4,"Warrior","LIGHT",1600,1000,"cluster_6"
"Gem-Knight Master Diamond","Fusion Monster",9,"Rock","EARTH",2900.0000000000005,2500,"cluster_3"
"Mystical Shine Ball","Normal Monster",2,"Fairy","LIGHT",500,500,"cluster_1"
"Subterror Nemesis Archer","Effect Monster",3,"Fairy","EARTH",1600,1400.0000000000002,"cluster_1"
"Cyber Angel Dakini","Ritual Effect Monster",8,"Fairy","LIGHT",2700,2400,"cluster_3"
"Meklord Army of Wisel","Effect Monster",4,"Machine","DARK",1800.0000000000002,0,"cluster_4"
"Evolsaur Darwino","Effect Monster",5,"Dinosaur","FIRE",2200,700.0000000000001,"cluster_5"
"Gogiga Gagagigo","Normal Monster",8,"Reptile","WATER",2950.0000000000005,2800.0000000000005,"cluster_5"
