Name,Type,Level,Race,Attribute,ATK,DEF
Hourglass of Courage,Effect Monster,4,Fairy,LIGHT,1100,1200
Izanami,Spirit Monster,4,Fairy,WATER,1100,1800
Morpho Butterspy,Effect Monster,4,Warrior,DARK,1200,1600
Emes the Infinity,Effect Monster,7,Machine,LIGHT,2500,2000
Twin-Headed Behemoth,Effect Monster,3,Dragon,WIND,1500,1200
Zombie Mammoth,Effect Monster,4,Zombie,EARTH,1900,0
Blizzard Falcon,Effect Monster,4,Winged Beast,WATER,1500,1500
Jetroid,Effect Monster,4,Machine,WIND,1200,1800
Minoan Centaur,Effect Monster,6,Beast-Warrior,EARTH,1800,1000
Man-Thro' Tro',Effect Monster,4,Beast-Warrior,EARTH,1000,1000
Poison Mummy,Flip Effect Monster,4,Zombie,EARTH,1000,1800
Windwitch - Ice Bell,Effect Monster,3,Spellcaster,WIND,1000,1000
Holding Arms,Effect Monster,4,Fiend,DARK,500,1200
Brotherhood of the Fire Fist - Dragon,Effect Monster,4,Beast-Warrior,FIRE,1800,400
Chrysalis Pantail,Effect Monster,2,Beast,DARK,800,300
Foucault's Cannon,Pendulum Normal Monster,5,Spellcaster,DARK,2200,1200
Phoenix Beast Gairuda,Effect Monster,6,Winged Beast,WIND,2500,1200
Giga Gagagigo,Normal Monster,5,Reptile,WATER,2450,1500
Warrior of Atlantis,Effect Monster,4,Aqua,WATER,1900,1200
Dark Magician Girl the Dragon Knight,Fusion Monster,7,Dragon,DARK,2600,1700
Madjinn Gunn,Normal Monster,2,Fiend,DARK,600,800
Windmill Genex,Synchro Monster,7,Machine,WIND,2000,1600
Magical Something,Effect Monster,4,Spellcaster,DARK,1800,1300
Naturia Landoise,Synchro Monster,7,Rock,EARTH,2350,1600
Gravity Warrior,Synchro Monster,6,Warrior,EARTH,2100,1000
Supply,Flip Effect Monster,4,Warrior,EARTH,1300,800
Takriminos,Normal Monster,4,Sea Serpent,WATER,1500,1200
Poly-Chemicritter Dioxogre,Gemini Monster,8,Fiend,DARK,2800,200
Rose Fairy,Effect Monster,3,Plant,WIND,600,1200
The Fabled Unicore,Synchro Monster,4,Beast,LIGHT,2300,1000
"Ehren, Lightsworn Monk",Effect Monster,4,Warrior,LIGHT,1600,1000
Robotic Knight,Normal Monster,4,Machine,FIRE,1600,1800
Abyssal Kingshark,Effect Monster,4,Fish,WATER,1700,600
Necro Linker,Effect Monster,2,Fiend,DARK,600,0
Gagaga Clerk,Effect Monster,2,Warrior,EARTH,400,800
Star Seraph Sage,Effect Monster,4,Fairy,LIGHT,1600,1400
Masaki the Legendary Swordsman,Normal Monster,4,Warrior,EARTH,1100,1100
Madolche Puddingcess Chocolat-a-la-Mode,XYZ Monster,5,Fairy,EARTH,2500,2200
Gorz the Emissary of Darkness,Effect Monster,7,Fiend,DARK,2700,2500
Dark Bug,Effect Monster,1,Insect,DARK,100,100
Performapal Salutiger,Effect Monster,4,Beast-Warrior,EARTH,1700,500
Jade Knight,Effect Monster,4,Machine,LIGHT,1000,1800
Red-Eyes Flare Metal Dragon,XYZ Monster,7,Dragon,DARK,2800,2400
Chamberlain of the Six Samurai,Normal Monster,3,Warrior,EARTH,200,2000
Double Coston,Effect Monster,4,Zombie,DARK,1700,1650
Performapal Camelump,Pendulum Effect Monster,4,Beast,EARTH,800,1800
Inzektor Exa-Beetle,XYZ Monster,6,Insect,DARK,1000,1000
Stardust Dragon,Synchro Monster,8,Dragon,WIND,2500,2000
Left Leg of the Forbidden One,Normal Monster,1,Spellcaster,DARK,200,300
Constellar Siat,Effect Monster,1,Fairy,LIGHT,100,1600
Ghost Fairy Elfobia,Effect Monster,3,Psychic,WIND,900,500
Herald of Perfection,Ritual Effect Monster,6,Fairy,LIGHT,1800,2800
Garbage Lord,Effect Monster,5,Fiend,DARK,0,2400
Jurrac Spinos,Effect Monster,7,Dinosaur,FIRE,2600,1700
Bitelon,Effect Monster,6,Reptile,WATER,2400,1000
Starfish,Effect Monster,3,Aqua,WATER,300,300
Steamroid,Effect Monster,4,Machine,EARTH,1800,1800
Naturia Beans,Effect Monster,2,Plant,EARTH,100,1200
Hammer Bounzer,Effect Monster,6,Warrior,EARTH,2300,2000
D.D. Destroyer,Effect Monster,4,Warrior,EARTH,1000,1000
Combo Master,Effect Monster,5,Warrior,WIND,2200,1500
Worm Linx,Flip Effect Monster,2,Reptile,LIGHT,300,1000
Brotherhood of the Fire Fist - Raven,Effect Monster,3,Beast-Warrior,FIRE,200,1800
Cyber Soldier,Normal Monster,5,Machine,DARK,1500,1700
Ancient Gear Reactor Dragon,Effect Monster,9,Machine,EARTH,3000,3000
Sacred Spirit of the Ice Barrier,Spirit Monster,4,Zombie,WATER,1600,1200
Victory Dragon,Effect Monster,8,Dragon,DARK,2400,3000
Timeater,Effect Monster,6,Machine,DARK,1900,1700
World Carrotweight Champion,Effect Monster,4,Plant,DARK,1900,0
B.E.S. Tetran,Effect Monster,6,Machine,WIND,1800,2300
The Legendary Fisherman III,Effect Monster,7,Warrior,WATER,2500,2000
Flowerbot,Effect Monster,3,Plant,EARTH,1500,800
Lightning Punisher,Effect Monster,7,Thunder,DARK,2600,1600
Ally of Justice Enemy Catcher,Effect Monster,6,Machine,DARK,1800,1800
Chevalier de Fleur,Synchro Monster,8,Warrior,WIND,2700,2300
Koa'ki Meiru Guardian,Effect Monster,4,Rock,EARTH,1900,1200
Tripwire Beast,Normal Monster,4,Thunder,EARTH,1200,1300
Ocean's Keeper,Effect Monster,3,Fish,WATER,1500,1200
ZW - Lightning Blade,Effect Monster,5,Beast,LIGHT,1200,2000
Risebell the Summoner,Pendulum Normal Monster,3,Psychic,WIND,800,800
Spell Recycler,Effect Monster,1,Spellcaster,DARK,0,0
Ogre of the Black Shadow,Normal Monster,4,Beast-Warrior,EARTH,1200,1400
Old Vindictive Magician,Flip Effect Monster,2,Spellcaster,DARK,450,600
Moai Interceptor Cannons,Effect Monster,4,Rock,EARTH,1100,2000
Vision HERO Adoration,Fusion Monster,8,Warrior,DARK,2800,2100
Raidraptor - Skull Eagle,Effect Monster,3,Winged Beast,DARK,1000,500
Vylon Delta,Synchro Monster,7,Fairy,LIGHT,1700,2800
Evigishki Gustkraken,Ritual Effect Monster,6,Aqua,WATER,2400,1000
Flame Swordsman,Fusion Monster,5,Warrior,FIRE,1800,1600
Saambell the Summoner,Effect Monster,2,Spellcaster,WIND,600,400
Geargiano Mk-III,Effect Monster,3,Machine,EARTH,1000,1000
Scarred Warrior,Synchro Monster,5,Warrior,EARTH,2100,1000
Red Warg,Effect Monster,6,Fiend,FIRE,1400,2200
Archfiend Black Skull Dragon,Fusion Monster,9,Dragon,DARK,3200,2500
Mirror Ladybug,Effect Monster,1,Insect,LIGHT,100,100
Psychic Lifetrancer,Synchro Monster,7,Psychic,EARTH,2400,2000
Fairy King Truesdale,Effect Monster,6,Plant,WATER,2200,1500
Laval Coatl,Tuner Monster,2,Pyro,FIRE,1300,700
Ally of Justice Omni-Weapon,Effect Monster,5,Machine,DARK,2200,800
Kinka-byo,Spirit Monster,1,Beast,DARK,400,200
Gearspring Spirit,Effect Monster,8,Machine,DARK,100,100
Dark Red Enchanter,Effect Monster,6,Spellcaster,DARK,1700,2200
Dragon Spirit of White,Effect Monster,8,Dragon,LIGHT,2500,2000
Super Defense Robot Elephan,Effect Monster,8,Machine,EARTH,1400,2500
Queen of Thorns,Synchro Monster,6,Plant,LIGHT,2200,1800
Celtic Guard of Noble Arms,Effect Monster,4,Warrior,EARTH,2100,700
Raidraptor - Blaze Falcon,XYZ Monster,5,Winged Beast,DARK,1000,2000
Birdface,Effect Monster,4,Winged Beast,WIND,1600,1600
Ally of Justice Cyclone Creator,Tuner Monster,3,Machine,DARK,1400,1200
Performapal Extra Slinger,Pendulum Effect Monster,3,Spellcaster,DARK,800,1100
Morphtronic Magnen Bar,Effect Monster,1,Thunder,EARTH,100,100
"Draghig, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1100,900
Noisy Gnat,Effect Monster,2,Insect,EARTH,700,300
Odd-Eyes Rebellion Dragon,XYZ Pendulum Effect Monster,7,Dragon,DARK,3000,2500
Master with Eyes of Blue,Tuner Monster,1,Spellcaster,LIGHT,300,1200
Mimimic,Effect Monster,3,Machine,EARTH,300,300
Gem-Knight Iolite,Gemini Monster,4,Aqua,EARTH,1300,2000
Karakuri Spider,Effect Monster,2,Machine,EARTH,400,500
Heraldic Beast Unicorn,Effect Monster,4,Beast,LIGHT,1100,1600
Jurrac Ptera,Effect Monster,3,Dinosaur,FIRE,800,1500
Pilgrim Reaper,XYZ Monster,6,Zombie,DARK,0,0
Wattlemur,Effect Monster,2,Thunder,LIGHT,800,100
Traptrix Dionaea,Effect Monster,4,Plant,EARTH,1700,1100
Cardcar D,Effect Monster,2,Machine,EARTH,800,400
Scrap Archfiend,Synchro Monster,7,Fiend,EARTH,2700,1800
Lost Guardian,Effect Monster,4,Rock,EARTH,100,0
Gilasaurus,Effect Monster,3,Dinosaur,EARTH,1400,400
Moon Envoy,Normal Monster,4,Warrior,LIGHT,1100,1000
Little Fairy,Effect Monster,3,Fairy,LIGHT,800,800
Cycroid,Normal Monster,3,Machine,EARTH,800,1000
Solar Flare Dragon,Effect Monster,4,Pyro,FIRE,1500,1000
Guardian Tryce,Effect Monster,5,Thunder,LIGHT,1900,1700
Gusto Falco,Tuner Monster,2,Winged Beast,WIND,600,1400
Ebon Magician Curran,Effect Monster,2,Spellcaster,DARK,1200,0
Powered Inzektron,Synchro Monster,6,Machine,LIGHT,2500,1600
Barrier Statue of the Heavens,Effect Monster,4,Fairy,LIGHT,1000,1000
Turbo Warrior,Synchro Monster,6,Warrior,WIND,2500,1500
Knight of the Red Lotus,Effect Monster,6,Warrior,FIRE,2100,1800
Dupe Frog,Effect Monster,2,Aqua,WATER,100,2000
Tao the Chanter,Normal Monster,3,Spellcaster,EARTH,1200,900
Earthbound Immortal Ccapac Apu,Effect Monster,10,Fiend,DARK,3000,2500
Lancer Lindwurm,Effect Monster,4,Dragon,WIND,1800,1200
Psi-Beast,Effect Monster,2,Psychic,EARTH,700,500
Roulette Barrel,Effect Monster,4,Machine,LIGHT,1000,2000
Rocket Hermos Cannon,Fusion Monster,4,Warrior,LIGHT,1500,1300
Skilled White Magician,Effect Monster,4,Spellcaster,LIGHT,1700,1900
Nimble Manta,Effect Monster,2,Fish,WATER,800,100
Armed Dragon LV5,Effect Monster,5,Dragon,WIND,2400,1700
Laval Magma Cannoneer,Effect Monster,4,Pyro,FIRE,1700,200
"Ruin, Queen of Oblivion",Ritual Effect Monster,8,Fairy,LIGHT,2300,2000
Tomozaurus,Normal Monster,2,Dinosaur,EARTH,500,400
Trap Master,Flip Effect Monster,3,Warrior,EARTH,500,1100
Magical Ghost,Normal Monster,4,Zombie,DARK,1300,1400
Dweller in the Depths,Effect Monster,3,Dragon,EARTH,1500,700
Fire Kraken,Normal Monster,4,Aqua,FIRE,1600,1500
Santa Claws,Effect Monster,6,Fiend,LIGHT,1200,2500
Vampire Orchis,Effect Monster,4,Plant,EARTH,1700,1000
R-Genex Ultimum,Effect Monster,4,Machine,EARTH,1800,1400
Raidraptor - Pain Lanius,Effect Monster,1,Winged Beast,DARK,100,100
Chaos-End Master,Tuner Monster,3,Warrior,LIGHT,1500,1000
Clear Kuriboh,Effect Monster,1,Fairy,LIGHT,300,200
Muka Muka,Effect Monster,2,Rock,EARTH,600,300
Galaxy Soldier,Effect Monster,5,Machine,LIGHT,2000,0
"Green Baboon, Defender of the Forest",Effect Monster,7,Beast,EARTH,2600,1800
Crimson Sunbird,Fusion Monster,6,Winged Beast,FIRE,2300,1800
Machine King,Effect Monster,6,Machine,EARTH,2200,2000
Blackwing - Mistral the Silver Shield,Tuner Monster,2,Winged Beast,DARK,100,1800
Hitodenchak,Normal Monster,2,Aqua,WATER,600,700
Vision HERO Trinity,Fusion Monster,8,Warrior,DARK,2500,2000
Evilswarm Exciton Knight,XYZ Monster,4,Fiend,LIGHT,1900,0
Mefist the Infernal General,Effect Monster,5,Fiend,DARK,1800,1700
Humanoid Slime,Normal Monster,4,Aqua,WATER,800,2000
Fabled Topi,Effect Monster,1,Fiend,LIGHT,500,200
Carrierroid,Effect Monster,4,Machine,WATER,1000,800
Minomushi Warrior,Normal Monster,4,Rock,EARTH,1300,1200
Ghostrick Dullahan,XYZ Monster,1,Fiend,DARK,1000,0
Wattfox,Tuner Monster,2,Thunder,LIGHT,800,100
Ghostrick Doll,Effect Monster,2,Spellcaster,DARK,300,1200
Gravekeeper's Heretic,Effect Monster,4,Spellcaster,DARK,1800,1500
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Dodger Dragon,Effect Monster,4,Dragon,WIND,1900,1200
Helping Robo for Combat,Effect Monster,4,Machine,LIGHT,1600,0
Geargiaccelerator,Effect Monster,4,Machine,EARTH,1400,800
Mystic Clown,Normal Monster,4,Fiend,DARK,1500,1000
Performapal Pendulum Sorcerer,Pendulum Effect Monster,4,Spellcaster,EARTH,1500,800
Sylvan Mikorange,Effect Monster,3,Plant,WATER,400,1100
Vanity's Fiend,Effect Monster,6,Fiend,DARK,2400,1200
Gishki Vision,Effect Monster,2,Sea Serpent,WATER,700,500
Worm Yagan,Effect Monster,4,Reptile,LIGHT,1000,1800
Noble Knight Borz,Effect Monster,4,Warrior,LIGHT,1700,900
Space-Time Police,Effect Monster,5,Psychic,WIND,2300,1500
Guardian Grarl,Effect Monster,5,Dinosaur,EARTH,2500,1000
Fabled Raven,Tuner Monster,2,Fiend,LIGHT,1300,1000
Vylon Pentachloro,Union Effect Monster,4,Machine,LIGHT,500,400
Light and Darkness Dragon,Effect Monster,8,Dragon,LIGHT,2800,2400
Wing Eagle,Normal Monster,5,Winged Beast,WIND,1800,1500
Batteryman AAA,Effect Monster,4,Thunder,LIGHT,0,0
Skystarray,Effect Monster,3,Sea Serpent,WIND,600,300
Acrobat Monkey,Normal Monster,3,Machine,EARTH,1000,1800
Fabled Ragin,Synchro Monster,5,Fiend,LIGHT,2300,1800
Pitch-Dark Dragon,Union Effect Monster,3,Dragon,DARK,900,600
Hydro Genex,Synchro Monster,6,Machine,WATER,2300,1800
Kuribon,Effect Monster,1,Fairy,LIGHT,300,200
Tuned Magician,Gemini Monster,4,Spellcaster,WIND,1800,1600
Amazoness Paladin,Effect Monster,4,Warrior,EARTH,1700,300
Grenosaurus,XYZ Monster,3,Dinosaur,FIRE,2000,1900
Mystic Swordsman LV2,Effect Monster,2,Warrior,EARTH,900,0
Mild Turkey,Pendulum Normal Monster,4,Winged Beast,FIRE,1000,2000
Constellar Hyades,XYZ Monster,3,Beast-Warrior,LIGHT,1900,1100
Gigantes,Effect Monster,4,Rock,EARTH,1900,1300
Gem-Knight Lady Lapis Lazuli,Fusion Monster,5,Rock,EARTH,2400,1000
Darklord Edeh Arae,Effect Monster,5,Fairy,DARK,2300,2000
Geargiauger,Effect Monster,4,Machine,EARTH,500,500
Zombie Tiger,Union Effect Monster,3,Zombie,EARTH,1400,1600
Candle of Fate,Normal Monster,2,Fiend,DARK,600,600
Lunalight Wolf,Pendulum Effect Monster,6,Beast-Warrior,LIGHT,2000,1800
"Alich, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1200,0
"Mei-Kou, Master of Barriers",Effect Monster,4,Spellcaster,LIGHT,1700,600
Elemental HERO Rampart Blaster,Fusion Monster,6,Warrior,EARTH,2000,2500
Sylvan Snapdrassinagon,Effect Monster,1,Plant,DARK,900,400
Infernal Dragon,Effect Monster,4,Dragon,DARK,2000,0
Naturia Hydrangea,Effect Monster,5,Plant,EARTH,1900,2000
"Poseidra, the Atlantean Dragon",Effect Monster,7,Sea Serpent,WATER,2800,1600
Chaosrider Gustaph,Effect Monster,4,Warrior,WIND,1400,1500
Artifact Labrys,Effect Monster,5,Fairy,LIGHT,2300,1000
Guardian of the Throne Room,Normal Monster,4,Machine,LIGHT,1650,1600
Tatsunootoshigo,Normal Monster,5,Beast,EARTH,1350,1600
Magidog,Effect Monster,4,Spellcaster,LIGHT,1700,1000
Great Maju Garzett,Effect Monster,6,Fiend,DARK,0,0
Barrier Statue of the Inferno,Effect Monster,4,Pyro,FIRE,1000,1000
Gadget Arms,Flip Effect Monster,2,Machine,WATER,200,400
Millennium Golem,Normal Monster,6,Rock,EARTH,2000,2200
Heroic Champion - Gandiva,XYZ Monster,4,Warrior,EARTH,2100,1800
Thunder Sea Horse,Effect Monster,4,Thunder,LIGHT,1600,1200
Ritual Beast Ulti-Cannahawk,Fusion Monster,6,Thunder,WIND,1400,1600
Artifact Failnaught,Effect Monster,5,Fairy,LIGHT,2000,1600
D.D. Survivor,Effect Monster,4,Warrior,DARK,1800,200
Battle Footballer,Normal Monster,4,Machine,FIRE,1000,2100
Kappa Avenger,Normal Monster,3,Aqua,WATER,1200,900
Blockman,Effect Monster,4,Rock,EARTH,1000,1500
D.D. Crazy Beast,Effect Monster,3,Beast,EARTH,1400,1400
Gladiator Beast Gyzarus,Fusion Monster,6,Winged Beast,DARK,2400,1500
Aitsu,Normal Monster,5,Fairy,FIRE,100,100
Horus the Black Flame Dragon LV8,Effect Monster,8,Dragon,FIRE,3000,1800
Madolche Butlerusk,Effect Monster,4,Spellcaster,EARTH,1500,800
Axe Raider,Normal Monster,4,Warrior,EARTH,1700,1150
Grave Squirmer,Effect Monster,1,Fiend,DARK,0,0
Ansatsu,Normal Monster,5,Warrior,EARTH,1700,1200
Vylon Sigma,Synchro Monster,7,Fairy,LIGHT,1800,1000
Morphtronic Boarden,Effect Monster,3,Machine,EARTH,500,1800
Jurrac Stauriko,Effect Monster,2,Dinosaur,FIRE,500,400
El Shaddoll Grysta,Fusion Monster,7,Rock,FIRE,2450,1950
Lunalight Purple Butterfly,Effect Monster,3,Beast-Warrior,DARK,1000,1000
Sky Scourge Norleras,Effect Monster,8,Fiend,DARK,2400,1500
Legendary Six Samurai - Shinai,Effect Monster,3,Warrior,WATER,1500,1500
Bolt Penguin,Normal Monster,3,Thunder,WATER,1100,800
Herald of Ultimateness,Ritual Effect Monster,12,Fairy,LIGHT,2000,3000
Trigon,Union Effect Monster,3,Dragon,FIRE,500,1700
Perfectly Ultimate Great Moth,Effect Monster,8,Insect,EARTH,3500,3000
Danipon,Effect Monster,2,Insect,EARTH,600,600
Ushi Oni,Normal Monster,6,Fiend,DARK,2150,1950
Spirit Caller,Flip Effect Monster,3,Spellcaster,LIGHT,1000,1000
Archfiend General,Effect Monster,4,Fiend,DARK,2100,800
Lonefire Blossom,Effect Monster,3,Plant,FIRE,500,1400
Memory Crusher,Effect Monster,3,Fiend,DARK,1000,600
Marmiting Captain,Effect Monster,3,Warrior,EARTH,1200,400
Fairy Archer,Effect Monster,3,Fairy,LIGHT,1400,600
Cyber-Tech Alligator,Normal Monster,5,Machine,WIND,2500,1600
Dark Scorpion - Gorg the Strong,Effect Monster,5,Warrior,DARK,1800,1500
"Thunder King, the Lightningstrike Kaiju",Effect Monster,9,Thunder,LIGHT,3300,2100
Nova Summoner,Effect Monster,4,Fairy,LIGHT,1400,800
Invoked Magellanica,Fusion Monster,8,Rock,EARTH,3000,3300
Morphtronic Vacuumen,Effect Monster,1,Machine,WIND,0,0
Zoodiac Drident,XYZ Monster,4,Beast-Warrior,EARTH,0,0
Lancephorhynchus,Pendulum Normal Monster,6,Dinosaur,WIND,2500,800
Masked Beast Des Gardius,Effect Monster,8,Fiend,DARK,3300,2500
Athena,Effect Monster,7,Fairy,LIGHT,2600,800
Elemental HERO Grand Neos,Fusion Monster,7,Warrior,EARTH,2500,2000
Gagagigo,Normal Monster,4,Reptile,WATER,1850,1000
Blackwing - Bora the Spear,Effect Monster,4,Winged Beast,DARK,1700,800
PSY-Frame Driver,Normal Monster,6,Psychic,LIGHT,2500,0
The Masked Beast,Ritual Monster,8,Fiend,DARK,3200,1800
Infernity Beetle,Tuner Monster,2,Insect,DARK,1200,0
Man-Eating Plant,Normal Monster,2,Plant,EARTH,800,600
Creepy Coney,Flip Effect Monster,3,Beast,EARTH,1000,1900
Charioteer of Prophecy,Effect Monster,4,Spellcaster,WIND,1800,1300
CXyz Skypalace Babylon,XYZ Monster,11,Machine,WIND,3800,4000
Mirage Knight,Effect Monster,8,Warrior,LIGHT,2800,2000
Sorcerer of the Doomed,Normal Monster,4,Spellcaster,DARK,1450,1200
Yosenju Magat,Effect Monster,6,Beast,WIND,2000,100
Gate Deeg,Normal Monster,3,Beast,DARK,700,800
Elemental HERO Storm Neos,Fusion Monster,9,Warrior,WIND,3000,2500
Genin,Normal Monster,3,Spellcaster,LIGHT,600,900
Madolche Baaple,Effect Monster,3,Beast,EARTH,0,1800
Cyber Tutu,Effect Monster,3,Warrior,EARTH,1000,800
Lightning Tricorn,Synchro Monster,8,Beast,LIGHT,2800,2000
Wolf,Normal Monster,3,Beast,EARTH,1200,800
Ultimate Insect LV1,Effect Monster,1,Insect,WIND,0,0
Blackwing - Kogarashi the Wanderer,Tuner Monster,6,Winged Beast,DARK,2300,1600
Invoked Raidjin,Fusion Monster,5,Warrior,WIND,2200,2400
Beelze Frog,Effect Monster,3,Aqua,WATER,1200,800
Neo Aqua Madoor,Normal Monster,6,Spellcaster,WATER,1200,3000
Ancient Tool,Normal Monster,5,Machine,DARK,1700,1400
Gem-Knight Topaz,Fusion Monster,6,Thunder,EARTH,1800,1800
Fabled Oltro,Tuner Monster,2,Fiend,LIGHT,800,500
Saber Beetle,Effect Monster,6,Insect,EARTH,2400,600
Fallen Angel of Roses,Effect Monster,7,Plant,EARTH,2400,1300
Koa'ki Meiru Sandman,Effect Monster,4,Rock,EARTH,1900,1200
Freed the Matchless General,Effect Monster,5,Warrior,EARTH,2300,1700
Legendary Six Samurai - Kizan,Effect Monster,4,Warrior,EARTH,1800,500
Absorbing Kid from the Sky,Effect Monster,4,Fairy,LIGHT,1300,1000
Brotherhood of the Fire Fist - Coyote,Effect Monster,5,Beast-Warrior,FIRE,2000,500
Tiger Axe,Normal Monster,4,Beast-Warrior,EARTH,1300,1100
Tiger Axe,Normal Monster,4,Beast-Warrior,EARTH,1300,1100
Metabo Globster,Effect Monster,3,Fiend,DARK,800,300
Master Monk,Effect Monster,5,Rock,EARTH,1900,1000
Buster Whelp of the Destruction Swordsman,Tuner Monster,1,Dragon,LIGHT,400,300
Night Wing Sorceress,Effect Monster,3,Spellcaster,WIND,1300,1200
Ryu Senshi,Fusion Monster,6,Warrior,EARTH,2000,1200
Phantom Dragon,Effect Monster,8,Dragon,LIGHT,2300,2200
Archfiend Soldier,Normal Monster,4,Fiend,DARK,1900,1500
Spiritual Beast Cannahawk,Effect Monster,4,Thunder,WIND,1400,600
Garnecia Elefantis,Normal Monster,7,Beast-Warrior,EARTH,2400,2000
"Meltiel, Sage of the Sky",Effect Monster,4,Fairy,LIGHT,1600,1200
Uni-Zombie,Tuner Monster,3,Zombie,DARK,1300,0
Swordstalker,Normal Monster,6,Warrior,DARK,2000,1600
Strategist of the Ice Barrier,Effect Monster,4,Spellcaster,WATER,1600,1600
Sirenorca,Effect Monster,5,Winged Beast,WATER,2200,1000
Magnetic Mosquito,Flip Effect Monster,3,Insect,LIGHT,300,1000
Engraver of the Mark,Effect Monster,4,Spellcaster,DARK,1800,1200
Prior of the Ice Barrier,Effect Monster,2,Aqua,WATER,1000,400
Formula Synchron,Synchro Tuner Monster,2,Machine,LIGHT,200,1500
Bite Shoes,Flip Effect Monster,2,Fiend,DARK,500,300
Allure Queen LV7,Effect Monster,7,Spellcaster,DARK,1500,1500
Spiritual Whisper,Effect Monster,4,Winged Beast,WIND,200,2000
Dark Verger,Effect Monster,2,Plant,EARTH,0,1000
Mech Bass,Normal Monster,5,Machine,WATER,1800,1500
Relinkuriboh,Effect Monster,1,Fiend,DARK,300,200
Versago the Destroyer,Effect Monster,3,Fiend,DARK,1100,900
Greed Quasar,Effect Monster,7,Fiend,DARK,0,0
Scrap Twin Dragon,Synchro Monster,9,Dragon,EARTH,3000,2200
Evil HERO Infernal Sniper,Fusion Monster,6,Fiend,FIRE,2000,2500
Archfiend of Gilfer,Effect Monster,6,Fiend,DARK,2200,2500
Evil HERO Infernal Prodigy,Effect Monster,2,Fiend,DARK,300,600
Crashbug Z,Effect Monster,3,Fiend,DARK,0,1500
"Brionac, Dragon of the Ice Barrier",Synchro Monster,6,Sea Serpent,WATER,2300,1400
Satellite Cannon,Effect Monster,5,Machine,LIGHT,0,0
Igknight Margrave,Pendulum Normal Monster,5,Warrior,FIRE,1500,2500
Charm of Shabti,Effect Monster,1,Rock,EARTH,100,100
Shark Fortress,XYZ Monster,5,Fish,DARK,2400,1800
Mythic Tree Dragon,Effect Monster,4,Dragon,EARTH,100,1400
Bujingi Peacock,Effect Monster,4,Winged Beast,LIGHT,1800,700
Rescue Hamster,Pendulum Effect Monster,4,Beast,EARTH,300,100
Heroic Challenger - Spartan,Effect Monster,4,Warrior,EARTH,1600,1000
Jawsman,Effect Monster,6,Beast-Warrior,WATER,2600,1600
Sand Gambler,Effect Monster,3,Spellcaster,LIGHT,300,1600
X-Saber Galahad,Effect Monster,4,Warrior,EARTH,1800,800
Masked HERO Koga,Fusion Monster,8,Warrior,LIGHT,2500,1800
Damage Mage,Effect Monster,3,Spellcaster,DARK,600,1200
Powered Tuner,Effect Monster,4,Dragon,WATER,1400,1000
Synchro Magnet,Tuner Monster,3,Machine,EARTH,1000,600
Metalzoa,Effect Monster,8,Machine,DARK,3000,2300
Gravekeeper's Curse,Effect Monster,3,Spellcaster,DARK,800,800
Elemental HERO Shadow Mist,Effect Monster,4,Warrior,DARK,1000,1500
Dark Magician Knight,Effect Monster,7,Warrior,DARK,2500,2100
Stygian Security,Tuner Monster,1,Fiend,DARK,100,600
Ancient Crimson Ape,Effect Monster,7,Beast,LIGHT,2600,1800
Feedback Warrior,Effect Monster,3,Warrior,EARTH,800,700
Armored Kappa,XYZ Monster,2,Psychic,WATER,400,1000
Piranha Army,Effect Monster,2,Fish,WATER,800,200
Fenghuang,Spirit Monster,6,Winged Beast,FIRE,2100,1800
Gladiator Beast Tygerius,Effect Monster,4,Beast,EARTH,1800,800
Black Brachios,Effect Monster,4,Dinosaur,EARTH,1800,1100
Blue Flame Swordsman,Effect Monster,4,Warrior,FIRE,1800,1600
Chthonian Soldier,Effect Monster,4,Warrior,DARK,1200,1400
Blizzard Thunderbird,Effect Monster,4,Winged Beast,WATER,1600,1400
Neo the Magic Swordsman,Normal Monster,4,Spellcaster,LIGHT,1700,1000
Ancient Gear Gadjiltron Dragon,Effect Monster,8,Machine,EARTH,3000,2000
Different Dimension Dragon,Effect Monster,5,Dragon,LIGHT,1200,1500
Crystal Wing Synchro Dragon,Synchro Monster,8,Dragon,WIND,3000,2500
Raging Earth,Effect Monster,7,Reptile,EARTH,2000,1500
Cyborg Doctor,Effect Monster,4,Spellcaster,EARTH,1500,1700
Abyss Actor - Sassy Rookie,Pendulum Effect Monster,4,Fiend,DARK,1700,1000
Heliosphere Dragon,Effect Monster,4,Dragon,LIGHT,0,1900
Worm Cartaros,Flip Effect Monster,4,Reptile,LIGHT,1200,500
Card Breaker,Effect Monster,2,Warrior,LIGHT,100,900
Elemental HERO Poison Rose,Effect Monster,6,Plant,EARTH,1900,2000
Puppet Plant,Effect Monster,3,Plant,EARTH,1000,1000
